De väntade hela 7 månader på att skicka en påhittat restbelopp på 71 kronor på ett köp som var på 2300 kr och därefter har de lagt på ränta och avgift och blåst upp beloppet till det 10  dubbla!!! När jag ringde och frågade vad det är frågan om? Fick jag till svars att jag skulle skärpa mig och själv hålla reda på saker och ting. Fast jag hade betalat fakturan, jag frågade också, okej om vi säger att jag inte betalade men varför inte skicka fakturan månaden därpå istället för att vänta i hela 7 månader? Då la hon på!!! Världen mest otrevliga kundtjänst och det känns mer som ett bedrägeri företag! Ska ta ärendet till civilt domstol. Fy! Riktigt uselt!|0
Helnöjd!|2
Mona är jätteduktig på vaxning och jag rekommenderar henne varmt. Hennes salong är ljus och ren och ligger bra i förhållande till T-banan. Hon har alltid tider i närhet som man kan boka.|2
Bra bemötande och god service. Lyssnade på kundens behov och kom med bra förslag.|2
Det var en rolig kväll. Artisterna spelde fint. Bra upplevelse! Tack|2
Bra sängar. Trevlig personal i butik, men lite bökigt med leveransen. Försenad 1 vecka. Vid leverans saknades fyra ben samt alla skruvar till benen. Det tog en månad att få benen levererade och monterade. Pga strulet med leveransen blir betyg lågt. Fick 250kr i presentkort som plåster på såret.|0
Köpte en transportbil av en säljare på telefon har aldrig känt mig så lurad den där Ali är en riktig skojare kommer aldrig rekommendera den firman|0
Inkompetenta!|0
Avråder från dessa! Dyra klåpare är min erfarenhet. Att de kör med fastpris är för att kunna blåsa kunden ordentligt mot vad kunden hade betalat med ett rörligt pris. Gå inte på detta! De gav ett fastpris som jag i efterhand förstått varit mycket väl tilltaget för det förhållandevis enkla och snabba jobb som utfördes. Det hade blivit väsentligt mycket billigare att gå per timme med annan leverantör. Halva priset, förmodligen ännu lägre.  De hade fel fläktmotor med sig som de först monterade. Trots att jag berättat vilken typ det skulle vara samt skickat bild på den gamla fläkten med beteckning och allt. En stor del av arbetstiden gick åt till försök till att få igång denna samt att till sist åka och köpa rätt fläktmotor och montera istället.  De plockade inte iordning efter sig på vinden där fläktmotorbytet skedde. De lämnade skräp och flyttad isolering var inte tillbakalagd. Jag förväntar mig inte att behöva slutföra efterarbetet själv när jag betalat en högt fastpris.  Felsökning och tätning av ventilationskanal utfördes amatörmässigt och hafsigt och blev inte korrekt åtgärdat.  Offert på ytterligare arbete lovades till dagen efter. Den offerten kom aldrig.  De kom en timme före avtalad tid.  Jobbet blev delvis utfört, men jag är inte imponerad minst sagt. Känslan efteråt är att de inte har någon vidare kunskap om det de håller på med. Jag kan mer efter 10 minuters googlande än vad de själva kan. Ska jag inte kunna förvänta mig mer av så kallade yrkesproffs? Har jag för högt ställda förväntningar?  Lägg till detta en säljare som lovar mycket mer än de sen levererar. |0
Stockholiana på köpet!|2
